factor,periods,rank_ic,ic_ir,win,s_i,direction,turnover,net_excess,gross_excess,sharpe,max_dd,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
alpha191_162,120,-0.012601872109785505,-0.09824441215868096,0.5083333333333333,0.0006293489547417497,0,0.9298932041694435,-23.61490399800208,-9.554918750960095,-0.4887664833096467,54.32441428413695,0.054426033777832325,0.019618948057184633,0.054426033777832325,0.05352800107745001,0.028129053802597663,0.04234231675104048
alpha191_185,120,0.02929758119146223,0.043923992334401425,0.48333333333333334,0.0006219855869739737,1,0.8822706968494964,-16.038086881189383,-2.698153944824999,-0.19161502797790594,47.50233296179945,0.19125434526970286,-0.03531561042258066,0.010072835751518693,0.19125434526970286,0.11641645565316454,0.12785985368318842
alpha191_123,120,0.014809811952103829,0.09923123918871989,0.36666666666666664,0.0005388518637916985,1,0.7199194362301296,-7.9318292397713765,2.9533526360281837,0.1501352262626365,35.659120818423986,0.04848689479849836,-0.036934650806071605,0.004308387558329343,0.04848689479849836,-0.02307972929531084,-0.0023526590372002104
alpha191_013,120,-0.01441175583835632,-0.0852073568849326,0.425,0.0005218947397993686,0,0.9696034718173617,-27.83982962711403,-13.179425133235522,-0.5302226907200255,70.83099785576381,-0.018964633288110672,-0.08092547873557268,-0.018964633288110672,-0.025398585633266434,-0.10074291242049023,-0.0745983415319149
alpha191_085,120,0.012060315266155832,0.11089362001536922,0.375,0.0005015295068964905,1,0.933811770905637,-10.849338405794724,3.269895570298509,0.03375411013592085,40.84436625534388,0.07436631230488372,0.019361168714372056,0.020486495386902562,0.07436631230488372,0.01728651628411413,0.016654018853781004
alpha191_124,120,-0.022428031141472758,-0.0498726479221944,0.39166666666666666,0.00043809690944345074,0,0.6843086921497944,-17.882039646687453,-7.535292221382561,-0.20116652888795772,58.44667150776623,-0.060902500733714594,-0.1305890629397294,-0.060902500733714594,-0.09913122304106274,-0.09711002109392,-0.06204971798502527
alpha191_086,120,-0.016140649804288285,-0.06488149243395334,0.39166666666666666,0.00041016486719444155,0,0.8374197490985587,-17.407499179988186,-4.745712573617977,-0.20277399741386842,59.09897351690074,-0.009395547479879059,-0.010220328754181022,-0.009395547479879059,-0.07613185991860023,-0.057221945265188805,-0.05422925403726024
alpha191_178,120,-0.0059856513267710024,-0.17107757146526945,0.375,0.00038400400973319414,0,0.7969760926267633,-30.475648058167888,-18.425369537651225,-0.6990593102728805,66.17681328925111,0.051805199233948766,0.015994360064340327,0.051805199233948766,-0.008957318532496249,0.01318382881106466,0.031678631262300076
alpha191_108,120,0.01632713722030238,0.05528899164354778,0.4083333333333333,0.0003686069726123454,1,0.8991604892594887,-15.669713521431744,-2.074406923828276,-0.149588334794013,52.773245254094,0.10449221448159882,0.0016703418121882118,-0.006260428914133367,0.10449221448159882,0.061692904769164114,0.05315948983821046
alpha191_146,120,0.005364214107025722,-0.16250813210779572,0.39166666666666666,0.00034142696244728965,0,0.8724922332888496,-19.653147996323767,-6.46106542899636,-0.31979184979197894,51.684596537255935,0.002838523566009764,-0.007800584788523746,0.002838523566009764,-0.006957676817604169,-0.009782374326233474,-0.006966854269416753
alpha191_008,120,-0.009374417872375303,-0.07863611351506362,0.43333333333333335,0.0003194393747782231,0,0.7388192894361759,-30.037134848443696,-18.866187192168717,-0.5452089890000079,70.91759380110582,-0.013271979901773534,-0.013271979901773534,-0.025675078650610503,-0.01478696137919235,-0.02661872622175463,-0.024547751238465625
alpha191_130,120,0.019184229039218605,0.11728453275474406,0.14166666666666666,0.00031875188970933906,1,0.8755750253392982,-8.152426906818322,5.086267476311868,0.1271958844204125,37.77159288245584,0.06253736429075928,-0.05824034977967405,0.01393179193408495,0.06253736429075928,-0.04804827040856737,-0.020126003219953385
alpha191_172,120,-0.00836749020395962,-0.08875661071295778,0.4083333333333333,0.0003032569455265771,0,0.8677050353618405,-16.96694234156861,-3.847242206897583,-0.17673040173994403,50.91895257596748,0.0016652727416286372,-0.00718435400886784,0.0016652727416286372,-0.03865332182929811,-0.012723611141560304,0.00041303089699132876
